package,count,api
com.almasb.fxgl.core.concurrent,1,com.github.almasb:fxgl-core
org.springframework.security.oauth2.server.authorization.client,1,org.springframework.security:spring-security-oauth2-authorization-server
org.eclipse.paho.client.mqttv3.persist,7,org.eclipse.paho:org.eclipse.paho.client.mqttv3
kong.unirest.json,3,com.konghq:unirest-java
com.sun.jna.platform,2,net.java.dev.jna:jna-platform
org.apache.commons.lang,80,commons-lang:commons-lang
org.apache.http.client,92,com.couchbase.mock:CouchbaseMock
org.sonar.api.resources,10,org.codehaus.sonar:sonar-plugin-api
org.apache.commons.lang3.text,17,org.apache.commons:commons-lang3
org.keycloak.credential,1,org.keycloak:keycloak-server-spi
org.cornutum.tcases.io,1,org.cornutum.tcases:tcases-io
org.gstreamer.media,1,com.googlecode.gstreamer-java:gstreamer-java
net.coobird.thumbnailator,10,net.coobird:thumbnailator
org.apache.pdfbox.pdmodel.font,7,org.apache.pdfbox:pdfbox
org.mockito.cglib,1,org.mockito:mockito-all
org.apache.commons.math3.stat.descriptive,14,org.apache.commons:commons-math3
org.apache.solr.common.params,7,org.apache.solr:solr-solrj
com.squareup.okhttp.internal,2,com.squareup.okhttp:okhttp
org.apache.log4j,85,log4j:apache-log4j-extras
io.netty.bootstrap,70,com.github.lalithsuresh:examples
org.eclipse.collections.api.list,2,org.eclipse.collections:eclipse-collections-api
org.eclipse.collections.api.bag,2,org.eclipse.collections:eclipse-collections-api
org.apache.commons.lang.math,15,commons-lang:commons-lang
org.xbill,5,dnsjava:dnsjava
org.bouncycastle.openssl,10,org.bouncycastle:bcpkix-jdk15to18
com.google.googlejavaformat.java,6,com.google.googlejavaformat:google-java-format
org.apache.tika.parser.html,2,org.apache.tika:tika-parsers
elemental2.svg,1,com.google.elemental2:elemental2-svg
org.powermock.reflect,2,org.powermock:powermock-reflect
sortpom.processinstruction,1,com.github.ekryd.sortpom:sortpom-sorter
com.google,559,com.google.code.gson:gson
reactor.core.scheduler,3,io.projectreactor:reactor-core
com.jfinal.template,6,com.jfinal:enjoy
com.almasb.fxgl.core.reflect,1,com.github.almasb:fxgl-core
org.apache.http.io,1,org.apache.httpcomponents:httpcore
com.nimbusds.openid.connect.sdk,2,com.nimbusds:oauth2-oidc-sdk
org.apache.royale.compiler.definitions,1,org.apache.royale.compiler:compiler
org.jdom.input,6,org.jdom:jdom
freemarker.template,28,org.mapstruct:mapstruct-processor
org.apache.commons.validator.routines.checkdigit,1,commons-validator:commons-validator
org.dominokit.domino.ui.themes,1,org.dominokit:domino-ui-shared
org.slf4j.helpers,16,org.slf4j:slf4j-api
org.springframework.web.bind,29,org.springframework:spring-web
org.apache.http.conn.util,3,org.apache.httpcomponents:httpclient
io.netty.handler.codec.http,18,io.netty:netty-codec-http
org.apache.kafka.clients.producer,27,org.apache.kafka:kafka-clients
io.netty.handler.timeout,36,io.netty:netty-handler
org.fishwife.jrugged.aspects,1,org.fishwife:jrugged-aspects
org.springframework.data.annotation,17,org.springframework.data:spring-data-commons
io.netty.channel,74,com.github.lalithsuresh:examples
org.apache.kafka.common.security,6,org.apache.kafka:kafka-clients
com.cetsoft.imcache.serialization,1,com.cetsoft:imcache-core
com.sun.xml.stream,1,com.sun.xml.stream:sjsxp
com.pengrad.telegrambot.model,1,com.github.pengrad:java-telegram-bot-api
org.apache.commons.lang3,287,com.aliyun.openservices:ons-client
io.netty.util,52,com.github.lalithsuresh:examples
io.netty.util.internal,18,io.netty:netty-all
org.apache.commons.math3.util,13,org.apache.commons:commons-math3
org.springframework.security.oauth2.common.util,5,org.springframework.security.oauth:spring-security-oauth2
com.jfinal.render,4,com.jfinal:jfinal
org.joda.time.format,49,com.google.appengine:appengine-api-1.0-sdk
org.osgi.service.component,3,org.apache.felix:org.apache.felix.scr
org.eclipse.collections.impl.collector,2,org.eclipse.collections:eclipse-collections
org.apache.xml.security,2,org.apache.santuario:xmlsec
io.netty.buffer,63,com.github.lalithsuresh:examples
org.springframework.security.oauth2.config.annotation,11,org.springframework.security.oauth:spring-security-oauth2
com.spring4all.swagger,3,com.spring4all:spring-boot-starter-swagger
org.eclipse.jetty.server.handler,24,org.eclipse.jetty:jetty-server
org.cornutum.tcases,1,org.cornutum.tcases:tcases-cli
us.springett.cvss,1,us.springett:cvss-calculator
gate,1,uk.ac.gate:gate-core
sortpom.parameter,1,com.github.ekryd.sortpom:sortpom-sorter
com.pengrad.telegrambot.response,1,com.github.pengrad:java-telegram-bot-api
android.view,40,com.squareup:fest-android
com.jfinal.plugin,2,com.jfinal:jfinal
us.springett.vulndbdatamirror.client,1,us.springett:vulndb-data-mirror
org.junit.jupiter.api,120,org.junit.jupiter:junit-jupiter-api
org.asynchttpclient.config,1,org.asynchttpclient:async-http-client
org.powermock.modules.testng,3,org.powermock:powermock-module-testng
org.apache.royale.compiler.constants,1,org.apache.royale.compiler:compiler
org.springframework.context.support,43,org.springframework:spring-context
com.cetsoft.imcache.cache.populator,1,com.cetsoft:imcache-core
com.cloudrail.si.servicecode,1,com.cloudrail:cloudrail-si-java
org.springframework.web.servlet.mvc,11,org.springframework:spring-webmvc
org.apache.xml.security.transforms,3,org.apache.santuario:xmlsec
com.codingapi.simplemybatis.mapper,1,com.codingapi:simple-mybatis
com.aliyuncs,8,com.aliyun:aliyun-java-sdk-core
com.almasb.fxgl.time,1,com.github.almasb:fxgl-core
org.eclipse.collections.impl.utility,2,org.eclipse.collections:eclipse-collections
org.testcontainers.junit.jupiter,13,org.testcontainers:junit-jupiter
org.eclipse.jgit.errors,11,org.eclipse.jgit:org.eclipse.jgit
org.apache.poi.ss,19,org.apache.poi:poi
org.locationtech.jts.geom,7,org.locationtech.jts:jts-core
com.microsoft,5,com.microsoft.sqlserver:mssql-jdbc
org.sqlite,5,org.xerial:sqlite-jdbc
org.codehaus.jackson,8,org.codehaus.jackson:jackson-core-asl
org.apache.royale.compiler.driver,1,org.apache.royale.compiler:compiler-jx
org.gwtproject.safehtml,1,org.dominokit:mdi-icons-processor
net.minecrell.terminalconsole,1,net.minecrell:terminalconsoleappender
org.iq80.leveldb.impl,5,org.iq80.leveldb:leveldb
org.java_websocket.protocols,1,org.java-websocket:Java-WebSocket
org.java_websocket.server,3,org.java-websocket:Java-WebSocket
com.vip.vjtools.vjkit.number,2,com.vip.vjtools:vjkit
org.deepsymmetry.cratedigger,1,org.deepsymmetry:crate-digger
org.cyclonedx,1,org.cyclonedx:cyclonedx-core-java
org.apache.commons.io,305,org.gradle:gradle-tooling-api
org.brickred.socialauth.util,1,org.brickred:socialauth
com.almasb.fxgl.cutscene,1,com.github.almasb:fxgl-gameplay
io.netty.channel.socket,69,io.netty:netty-transport
android.support.v4.app,15,com.google.android:support-v4
org.apache.commons.lang3.exception,19,com.google.gwt:gwt-dev
us.springett.parsers.cpe,1,us.springett:cpe-parser
elemental2.dom,2,com.google.elemental2:elemental2-dom
com.jcraft.jsch,21,com.github.mwiede:jsch
com.github.tomakehurst.wiremock.http,3,com.github.tomakehurst:wiremock
